tableId,degree,epsilonLabel,beta,kappaPi,kappa,coarseType,rho,nu,hInv,h,nSubSide,nSubdomains,d,deltaSteps,delta,ndof,localDofEstimate,rawCoarseEstimate,estimateGB,paperIterations,paperRatio,gmresIterations,coarseDimension,rawCoarseDimension,coarseRatio,iterationDifference,ratioDifference,flag,finalRelres,resvecLength,localDofMin,localDofMax,localDofMean,coarseSetupS,preconditionerApplyS,totalS,status,notes
1,2,0,0.6,80,251.327412287183,spectral,0.00397887357729738,NaN,1008,0.000992063492063492,28,784,0.0357142857142857,9,0.00892857142857143,4068289,11881,338688,1908.83705146937,5,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 1908.84 GB exceeds hard limit 300.00 GB.
1,2,0,1,100,314.159265358979,spectral,0.00318309886183791,NaN,2512,0.000398089171974522,314,98596,0.00318471337579618,2,0.000796178343949045,25250625,729,10253984,1567693.50684259,4,7714.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 1567693.51 GB exceeds hard limit 300.00 GB.
1,2,0,0.8,100,314.159265358979,spectral,0.00318309886183791,NaN,1584,0.000631313131313131,99,9801,0.0101010101010101,4,0.00252525252525253,10042561,2401,1881792,53151.1273556154,3,113.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 53151.13 GB exceeds hard limit 300.00 GB.
1,2,0,0.6,100,314.159265358979,spectral,0.00318309886183791,NaN,1364,0.000733137829912023,31,961,0.032258064516129,11,0.00806451612903226,7447441,17689,507408,4231.11786684694,4,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 4231.12 GB exceeds hard limit 300.00 GB.
2,2,k,0.7,40,125.663706143592,spectral,0.242152258925809,NaN,464,0.0021551724137931,29,841,0.0344827586206897,4,0.00862068965517241,863041,2401,161472,421.492064172436,7,3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 421.49 GB exceeds hard limit 300.00 GB.
2,2,k,0.6,40,125.663706143592,spectral,0.190163880706519,NaN,432,0.00231481481481481,18,324,0.0555555555555556,6,0.0138888888888889,748225,5329,93312,161.747713132577,6,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,Below memory gate but above runtime cap N=748225.
2,2,k,0.5,40,125.663706143592,spectral,0.149337039785546,NaN,440,0.00227272727272727,11,121,0.0909090909090909,10,0.0227272727272727,776161,14641,58080,89.836511254894,6,0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,Below memory gate but above runtime cap N=776161.
2,2,k,0.7,80,251.327412287183,spectral,0.218239835379143,NaN,1152,0.000868055555555556,48,2304,0.0208333333333333,6,0.00520833333333333,5313025,5329,663552,6788.44931415751,7,6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 6788.45 GB exceeds hard limit 300.00 GB.
2,2,k,0.6,80,251.327412287183,spectral,0.165547273467637,NaN,1008,0.000992063492063492,28,784,0.0357142857142857,9,0.00892857142857143,4068289,11881,338688,1908.83705146937,7,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 1908.84 GB exceeds hard limit 300.00 GB.
2,2,k,0.5,80,251.327412287183,spectral,0.125576981420267,NaN,1024,0.0009765625,16,256,0.0625,16,0.015625,4198401,37249,196608,837.887189985379,6,0.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 837.89 GB exceeds hard limit 300.00 GB.
