panel,k,alpha,mFixed,mCoarse,nFine,h,nDofs,epsProb,epsPrec,localBc,x0Type,seed,gmresIts,flag,relres,precRelres,elapsedSeconds,scaledNfine
table2_epsprec_0,100,0.5,NaN,10,1000,0.001,1002001,0,0,impedance,random,20240528,61,0,8.49062719646557e-07,4.02662878491239e-07,91.9872934,0
table2_epsprec_0,120,0.2,NaN,3,1314,0.00076103500761035,1729225,0,0,impedance,random,20240528,21,0,8.20221124589249e-07,5.86249306772348e-07,76.4818797,0
table2_epsprec_0,120,0.3,NaN,4,1316,0.000759878419452888,1734489,0,0,impedance,random,20240528,27,0,7.9888044949438e-07,5.32263604280966e-07,93.7027584,0
table2_epsprec_0,120,0.4,NaN,7,1316,0.000759878419452888,1734489,0,0,impedance,random,20240528,44,0,7.66510875661973e-07,4.3028612676766e-07,135.3137507,0
table2_epsprec_0,120,0.5,NaN,11,1320,0.000757575757575758,1745041,0,0,impedance,random,20240528,66,0,8.37557981951572e-07,3.85232793602866e-07,179.0892768,0
table2_epsprec_0,140,0.2,NaN,3,1656,0.000603864734299517,2745649,0,0,impedance,random,20240528,22,0,7.49329556682485e-07,5.36198330072543e-07,134.7873672,0
table2_epsprec_0,140,0.3,NaN,4,1656,0.000603864734299517,2745649,0,0,impedance,random,20240528,27,0,7.02558469822542e-07,4.69443421188967e-07,155.3970402,0
table2_epsprec_0,140,0.4,NaN,7,1659,0.000602772754671489,2755600,0,0,impedance,random,20240528,44,0,6.94775772268504e-07,3.92563429346558e-07,226.0295046,0
table2_epsprec_0,140,0.5,NaN,12,1656,0.000603864734299517,2745649,0,0,impedance,random,20240528,72,0,8.86763234429809e-07,3.99983936704806e-07,333.1147354,0
table3_random_epsprec_k,40,NaN,4,4,252,0.00396825396825397,64009,0,40,impedance,random,20240528,29,0,5.74883775472756e-07,3.57738485728323e-07,2.8436173,0
table3_random_epsprec_k,40,NaN,8,8,256,0.00390625,66049,0,40,impedance,random,20240528,56,0,9.71235203233133e-07,4.25501009739296e-07,5.6713396,0
table3_random_epsprec_k,40,NaN,16,16,256,0.00390625,66049,0,40,impedance,random,20240528,100,1,1.32904830783908e-05,4.32507344162951e-06,12.2312286,0
table3_random_epsprec_k,60,NaN,4,4,464,0.0021551724137931,216225,0,60,impedance,random,20240528,28,0,9.5673863255929e-07,6.20604427595901e-07,9.5738527,0
table3_random_epsprec_k,60,NaN,8,8,464,0.0021551724137931,216225,0,60,impedance,random,20240528,51,0,8.80873213302521e-07,4.56333238675773e-07,16.4283909,0
table3_random_epsprec_k,60,NaN,16,16,464,0.0021551724137931,216225,0,60,impedance,random,20240528,100,1,4.90591439736233e-06,1.4335245301904e-06,33.0459707,0
table3_random_epsprec_k,80,NaN,4,4,716,0.00139664804469274,514089,0,80,impedance,random,20240528,28,0,8.09774745991034e-07,5.30382334816875e-07,26.5326617,0
table3_random_epsprec_k,80,NaN,8,8,720,0.00138888888888889,519841,0,80,impedance,random,20240528,51,0,7.7695412525126e-07,3.97016891545678e-07,39.9049235,0
table3_random_epsprec_k,80,NaN,16,16,720,0.00138888888888889,519841,0,80,impedance,random,20240528,100,1,2.35764874444827e-06,7.61707541455293e-07,76.0415765,0
table3_random_epsprec_k,100,NaN,4,4,1000,0.001,1002001,0,100,impedance,random,20240528,28,0,8.78667022039349e-07,5.75197090822527e-07,52.1266476,0
table3_random_epsprec_k,100,NaN,8,8,1000,0.001,1002001,0,100,impedance,random,20240528,51,0,8.13257385130605e-07,4.26344850012897e-07,79.4828176,0
table3_random_epsprec_k,100,NaN,16,16,1008,0.000992063492063492,1018081,0,100,impedance,random,20240528,97,0,9.67083926530513e-07,3.57763717418661e-07,147.0898414,0
table3_random_epsprec_k,120,NaN,4,4,1316,0.000759878419452888,1734489,0,120,impedance,random,20240528,28,0,8.17264195302582e-07,5.34660363304776e-07,97.2813124,0
table3_random_epsprec_k,120,NaN,8,8,1312,0.00076219512195122,1723969,0,120,impedance,random,20240528,50,0,7.67259085426608e-07,4.0662671967878e-07,147.472774,0
table3_random_epsprec_k,120,NaN,16,16,1312,0.00076219512195122,1723969,0,120,impedance,random,20240528,96,0,8.67845242498668e-07,3.4573002890883e-07,254.2025888,0
table3_random_epsprec_k,140,NaN,4,4,1656,0.000603864734299517,2745649,0,140,impedance,random,20240528,28,0,7.42025860921557e-07,4.8682131642971e-07,161.7988742,0
table3_random_epsprec_k,140,NaN,8,8,1656,0.000603864734299517,2745649,0,140,impedance,random,20240528,49,0,9.87155488454624e-07,5.24766935995856e-07,256.3362758,0
table3_random_epsprec_k,140,NaN,16,16,1664,0.000600961538461538,2772225,0,140,impedance,random,20240528,97,0,9.16440896479983e-07,3.66656877455758e-07,428.2580562,0
table3_random_epsprec_0,40,NaN,4,4,252,0.00396825396825397,64009,0,0,impedance,random,20240528,27,0,8.90712780458164e-07,5.62901156817429e-07,2.6253732,0
table3_random_epsprec_0,40,NaN,8,8,256,0.00390625,66049,0,0,impedance,random,20240528,55,0,9.93449928212088e-07,4.37012999698705e-07,5.5507739,0
table3_random_epsprec_0,40,NaN,16,16,256,0.00390625,66049,0,0,impedance,random,20240528,100,1,1.18645322846134e-05,3.8343055004244e-06,12.2315355,0
table3_random_epsprec_0,60,NaN,4,4,464,0.0021551724137931,216225,0,0,impedance,random,20240528,27,0,8.21041176742401e-07,5.42290027236887e-07,9.1923581,0
table3_random_epsprec_0,60,NaN,8,8,464,0.0021551724137931,216225,0,0,impedance,random,20240528,50,0,9.11669346043919e-07,4.78365296662562e-07,15.7534108,0
table3_random_epsprec_0,60,NaN,16,16,464,0.0021551724137931,216225,0,0,impedance,random,20240528,100,1,4.23275403065366e-06,1.23576345986988e-06,33.050972,0
